Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy
1,1,-,-,-,Random Forest,0.6491505456349206
1,1,-,-,-,SVM,0.5121682787698413
1,1,-,-,-,kNN,0.8100818452380952
2,1,-,-,-,Random Forest,0.7393973214285714
2,1,-,-,-,SVM,0.5786675347222222
2,1,-,-,-,kNN,0.7883029513888888
3,1,-,-,-,Random Forest,0.6977616567460317
3,1,-,-,-,SVM,0.5577411954365079
3,1,-,-,-,kNN,0.7054036458333334
4,1,-,-,-,Random Forest,0.5998573908730159
4,1,-,-,-,SVM,0.5086340525793651
4,1,-,-,-,kNN,0.6802920386904762
5,1,-,-,-,Random Forest,0.7127976190476191
5,1,-,-,-,SVM,0.5767919146825397
5,1,-,-,-,kNN,0.785187251984127
6,1,-,-,-,Random Forest,0.8400452628968254
6,1,-,-,-,SVM,0.7014508928571429
6,1,-,-,-,kNN,0.875914558531746
7,1,-,-,-,Random Forest,0.7237103174603174
7,1,-,-,-,SVM,0.5618799603174603
7,1,-,-,-,kNN,0.7038690476190477
8,1,-,-,-,Random Forest,0.6452752976190477
8,1,-,-,-,SVM,0.5265842013888888
8,1,-,-,-,kNN,0.7477368551587301
9,1,-,-,-,Random Forest,0.6646515376984127
9,1,-,-,-,SVM,0.5421626984126984
9,1,-,-,-,kNN,0.7134641617063492
10,1,-,-,-,Random Forest,0.6701543898809523
10,1,-,-,-,SVM,0.5457744295634921
10,1,-,-,-,kNN,0.6893291170634921
11,1,-,-,-,Random Forest,0.7146267361111112
11,1,-,-,-,SVM,0.4839409722222222
11,1,-,-,-,kNN,0.7445436507936508
12,1,-,-,-,Random Forest,0.6930183531746031
12,1,-,-,-,SVM,0.5335751488095238
12,1,-,-,-,kNN,0.6522972470238095
13,1,-,-,-,Random Forest,0.6071118551587301
13,1,-,-,-,SVM,0.5017981150793651
13,1,-,-,-,kNN,0.5903242807539683
14,1,-,-,-,Random Forest,0.6575365823412699
14,1,-,-,-,SVM,0.5421781994047619
14,1,-,-,-,kNN,0.7506200396825397
15,1,-,-,-,Random Forest,0.6440042162698413
15,1,-,-,-,SVM,0.5127728174603174
15,1,-,-,-,kNN,0.6673022073412699
16,1,-,-,-,Random Forest,0.694397941468254
16,1,-,-,-,SVM,0.5190352182539683
16,1,-,-,-,kNN,0.6963045634920635
17,1,-,-,-,Random Forest,0.6744326636904762
17,1,-,-,-,SVM,0.566468253968254
17,1,-,-,-,kNN,0.7567894345238095
18,1,-,-,-,Random Forest,0.7640749007936508
18,1,-,-,-,SVM,0.5212828621031746
18,1,-,-,-,kNN,0.7571614583333334
19,1,-,-,-,Random Forest,0.7146577380952381
19,1,-,-,-,SVM,0.47409784226190477
19,1,-,-,-,kNN,0.8050595238095238
20,1,-,-,-,Random Forest,0.7449931795634921
20,1,-,-,-,SVM,0.5563926091269841
20,1,-,-,-,kNN,0.7963324652777778
21,1,-,-,-,Random Forest,0.6155598958333334
21,1,-,-,-,SVM,0.5021856398809523
21,1,-,-,-,kNN,0.6501736111111112
22,1,-,-,-,Random Forest,0.5738622271825397
22,1,-,-,-,SVM,0.48701016865079366
22,1,-,-,-,kNN,0.6486545138888888
23,1,-,-,-,Random Forest,0.739195808531746
23,1,-,-,-,SVM,0.5872395833333334
23,1,-,-,-,kNN,0.7456287202380952
24,1,-,-,-,Random Forest,0.603484623015873
24,1,-,-,-,SVM,0.5232359871031746
24,1,-,-,-,kNN,0.723663814484127
25,1,-,-,-,Random Forest,0.6666511656746031
25,1,-,-,-,SVM,0.49133494543650796
25,1,-,-,-,kNN,0.7116660466269841
26,1,-,-,-,Random Forest,0.835999503968254
26,1,-,-,-,SVM,0.6471819196428571
26,1,-,-,-,kNN,0.8409443204365079
27,1,-,-,-,Random Forest,0.8677765376984127
27,1,-,-,-,SVM,0.7804594494047619
27,1,-,-,-,kNN,0.8740234375
28,1,-,-,-,Random Forest,0.7097439236111112
28,1,-,-,-,SVM,0.4970703125
28,1,-,-,-,kNN,0.8040209573412699
29,1,-,-,-,Random Forest,0.6614273313492064
29,1,-,-,-,SVM,0.518585689484127
29,1,-,-,-,kNN,0.8401072668650794
30,1,-,-,-,Random Forest,0.7701357886904762
30,1,-,-,-,SVM,0.6506851438492064
30,1,-,-,-,kNN,0.7753441220238095
31,1,-,-,-,Random Forest,0.8391152033730159
31,1,-,-,-,SVM,0.6216207837301587
31,1,-,-,-,kNN,0.8555772569444444
32,1,-,-,-,Random Forest,0.6620008680555556
32,1,-,-,-,SVM,0.5222904265873016
32,1,-,-,-,kNN,0.7143322172619048
